127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001569
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002084
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001099
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/static/css/calendar.css, HTTP/1.1, 200, 0.000853
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.033828
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.035364
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.036817
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.034304
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.013693
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.016814
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/static/images/background.jpg, HTTP/1.1, 404, 0.000169
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.007865
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.005761
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.010155
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000576
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001316
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/static/js/calendar.js, HTTP/1.1, 200, 0.000455
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002073
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/static/css/calendar.css, HTTP/1.1, 200, 0.001780
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/static/js/jquery.js, HTTP/1.1, 200, 0.001307
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/static/js/web2py.js, HTTP/1.1, 200, 0.002190
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001453
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000733
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.040107
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.041454
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.043281
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.043782
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.019262
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.020983
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/static/images/background.jpg, HTTP/1.1, 404, 0.000228
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.007341
127.0.0.1, 2018-10-26 19:08:19, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.008940
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.009585
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/static/js/jquery.js, HTTP/1.1, 200, 0.002456
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/static/js/web2py.js, HTTP/1.1, 200, 0.000925
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/static/js/calendar.js, HTTP/1.1, 200, 0.002127
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003496
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001356
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002686
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001594
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/static/css/calendar.css, HTTP/1.1, 200, 0.003144
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002358
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.036847
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.041014
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.029990
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.040937
127.0.0.1, 2018-10-26 19:12:12, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.015414
